,NETWORKNAME,CONVNAME,BATCHSIZE,INPUT_CHANNEL,INPUT_SIZE,OUTPUT_CHANNEL,KERNEL_SIZE,STRIDE,PADDING,OUTPUT_SIZE,256x64_TILE_NUMS,256x96_TILE_NUMS,192x64_TILE_NUMS,384x64_TILE_NUMS,256x64_FAKE_AP_USAGE,256x64_REAL_AP_USAGE,256x96_FAKE_AP_USAGE,256x96_REAL_AP_USAGE,192x64_FAKE_AP_USAGE,192x64_REAL_AP_USAGE,384x64_FAKE_AP_USAGE,384x64_REAL_AP_USAGE
0,resnet50,Conv2d-1,64,3,224x224,64,7x7,"(2, 2)","(1, 1)",112x112,"(3136, 1)","(3136, 1)","(4182, 1)","(2091, 1)",14.518518518518519,14.518518518518519,14.518518518518519,9.679012345679013,19.36111111111111,19.358024691358022,9.680555555555555,9.679012345679011
1,resnet50,Conv2d-2,64,64,56x56,64,1x1,"(1, 1)","(1, 1)",56x56,"(784, 1)","(784, 1)","(1046, 1)","(523, 1)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.4212962962962963,2.4197530864197527
2,resnet50,Conv2d-3,64,64,56x56,64,3x3,"(1, 1)","(1, 1)",56x56,"(784, 1)","(784, 1)","(1046, 1)","(523, 1)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.4212962962962963,2.4197530864197527
3,resnet50,Conv2d-4,64,64,56x56,256,1x1,"(1, 1)","(1, 1)",56x56,"(784, 4)","(784, 3)","(1046, 4)","(523, 4)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.685185185185185,9.679012345679011
4,resnet50,Conv2d-5,64,64,56x56,256,1x1,"(1, 1)","(1, 1)",56x56,"(784, 4)","(784, 3)","(1046, 4)","(523, 4)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.685185185185185,9.679012345679011
5,resnet50,Conv2d-6,64,256,56x56,64,1x1,"(1, 1)","(1, 1)",56x56,"(784, 1)","(784, 1)","(1046, 1)","(523, 1)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.4212962962962963,2.4197530864197527
6,resnet50,Conv2d-7,64,64,56x56,64,3x3,"(1, 1)","(1, 1)",56x56,"(784, 1)","(784, 1)","(1046, 1)","(523, 1)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.4212962962962963,2.4197530864197527
7,resnet50,Conv2d-8,64,64,56x56,256,1x1,"(1, 1)","(1, 1)",56x56,"(784, 4)","(784, 3)","(1046, 4)","(523, 4)",14.518518518518519,14.518518518518519,10.88888888888889,9.679012345679013,19.37037037037037,19.358024691358022,9.685185185185185,9.679012345679011
8,resnet50,Conv2d-9,64,256,56x56,64,1x1,"(1, 1)","(1, 1)",56x56,"(784, 1)","(784, 1)","(1046, 1)","(523, 1)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.4212962962962963,2.4197530864197527
9,resnet50,Conv2d-10,64,64,56x56,64,3x3,"(1, 1)","(1, 1)",56x56,"(784, 1)","(784, 1)","(1046, 1)","(523, 1)",3.6296296296296298,3.6296296296296298,3.6296296296296298,2.419753086419753,4.842592592592593,4.8395061728395055,2.4212962962962963,2.4197530864197527
